,Name,Year,Age,Team,League,Position,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
33,Tyrese Maxey,2024,23,PHI,NBA,PG,70,70,37.5,9.1,20.3,.450,3.0,8.1,.373,6.1,12.1,.501,.524,4.7,5.4,.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,MIP-1,23,PHI,NBA,PG,70,70,2626,19.8,.573,.401,.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28.0,5.9,2.1,8.1,.147,4.1,-1.0,3.1,3.4,MIP-1
34,Donovan Mitchell,2024,27,CLE,NBA,SG,55,55,35.3,9.1,19.8,.462,3.3,9.0,.368,5.8,10.8,.539,.545,5.0,5.8,.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,AS,27,CLE,NBA,SG,55,55,1942,22.1,.595,.454,.292,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,3.6,2.9,6.4,.159,4.6,1.2,5.8,3.9,AS
35,Trae Young,2024,25,ATL,NBA,PG,54,54,36.0,8.0,18.7,.430,3.2,8.7,.373,4.8,10.0,.479,.516,6.4,7.5,.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7,AS,25,ATL,NBA,PG,54,54,1942,20.3,.585,.465,.404,1.2,7.3,4.2,45.1,1.8,0.5,16.5,30.5,4.0,0.6,4.6,.114,4.9,-2.3,2.6,2.2,AS
36,Shai Gilgeous-Alexander,2024,25,OKC,NBA,PG,75,75,34.0,10.6,19.8,.535,1.3,3.6,.353,9.3,16.2,.576,.567,7.6,8.7,.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,MVP-2,25,OKC,NBA,PG,75,75,2553,29.3,.636,.181,.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,.275,6.7,2.3,9.0,7.1,MVP-2
37,Kevin Durant,2024,35,PHO,NBA,PF,75,75,37.2,10.0,19.1,.523,2.2,5.4,.413,7.8,13.7,.567,.581,4.8,5.6,.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,MVP-9,35,PHO,NBA,PF,75,75,2791,21.2,.626,.283,.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,.142,4.0,0.1,4.0,4.3,MVP-9
38,Nikola Jokić,2024,28,DEN,NBA,C,79,79,34.6,10.4,17.9,.583,1.1,2.9,.359,9.4,14.9,.626,.612,4.5,5.5,.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,MVP-1,28,DEN,NBA,C,79,79,2737,31.0,.650,.164,.310,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,.299,9.0,4.2,13.2,10.6,MVP-1
39,Luka Dončić,2024,24,DAL,NBA,PG,70,70,37.5,11.5,23.6,.487,4.1,10.6,.382,7.4,13.0,.573,.573,6.8,8.7,.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,MVP-3,24,DAL,NBA,PG,70,70,2624,28.1,.617,.450,.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,.220,8.3,1.7,9.9,8.0,MVP-3
40,LeBron James,2024,39,LAL,NBA,PF,71,71,35.3,9.6,17.9,.540,2.1,5.1,.410,7.5,12.8,.592,.599,4.3,5.7,.750,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,CPOY-10,39,LAL,NBA,PF,71,71,2504,23.7,.630,.286,.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,.164,5.5,0.9,6.5,5.4,CPOY-10
41,Karl-Anthony Towns,2024,28,MIN,NBA,PF,62,62,32.7,7.7,15.3,.504,2.2,5.3,.416,5.5,10.1,.550,.575,4.1,4.7,.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,3.3,21.8,AS,28,MIN,NBA,PF,62,62,2026,18.8,.625,.344,.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,2.6,3.6,6.3,.148,1.6,0.9,2.5,2.3,AS
42,Stephen Curry,2024,35,GSW,NBA,PG,74,74,32.7,8.8,19.5,.450,4.8,11.8,.408,4.0,7.7,.515,.573,4.0,4.4,.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,CPOY-1,35,GSW,NBA,PG,74,74,2421,20.6,.616,.606,.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,.142,6.3,-1.1,5.2,4.4,CPOY-1
43,Anthony Davis,2024,30,LAL,NBA,C,76,76,35.5,9.4,16.9,.556,0.4,1.4,.271,9.0,15.5,.582,.567,5.5,6.8,.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,DPOY-4,30,LAL,NBA,C,76,76,2700,25.8,.621,.083,.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,.210,3.5,1.7,5.1,4.9,DPOY-4
44,Devin Booker,2024,27,PHO,NBA,PG,68,68,36.0,9.4,19.2,.492,2.2,6.1,.364,7.2,13.0,.552,.550,6.0,6.7,.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,AS,27,PHO,NBA,PG,68,68,2447,21.9,.611,.320,.350,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,.181,4.0,-1.0,3.0,3.1,AS
45,Anthony Edwards,2024,22,MIN,NBA,SG,79,78,35.1,9.1,19.7,.461,2.4,6.7,.357,6.7,13.0,.515,.522,5.4,6.4,.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,MVP-7,22,MIN,NBA,SG,79,78,2770,19.7,.575,.341,.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,.130,2.7,0.5,3.3,3.7,MVP-7
46,Kawhi Leonard,2024,32,LAC,NBA,SF,68,68,34.3,9.0,17.1,.525,2.1,4.9,.417,6.9,12.1,.569,.585,3.7,4.2,.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,AS,32,LAC,NBA,SF,68,68,2330,23.2,.626,.289,.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6.0,2.9,8.9,.184,4.8,0.6,5.5,4.4,AS
47,Paul George,2024,33,LAC,NBA,PF,74,74,33.8,7.9,16.7,.471,3.3,7.9,.413,4.6,8.8,.523,.569,3.6,3.9,.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,AS,33,LAC,NBA,PF,74,74,2502,19.3,.613,.476,.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,.140,2.9,0.2,3.2,3.3,AS
48,Jayson Tatum,2023,24,BOS,NBA,SF,74,74,36.9,9.8,21.1,.466,3.2,9.3,.350,6.6,11.8,.558,.543,7.2,8.4,.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,MVP-4,24,BOS,NBA,SF,74,74,2732,23.7,.607,.440,.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,.185,4.8,0.7,5.5,5.1,MVP-4
49,Donovan Mitchell,2023,26,CLE,NBA,SG,68,68,35.8,10.0,20.6,.484,3.6,9.3,.386,6.4,11.3,.566,.572,4.7,5.4,.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,MVP-6,26,CLE,NBA,SG,68,68,2432,22.9,.614,.453,.262,3.1,10.9,7.0,21.4,2.0,1.0,10.3,32.1,5.4,3.5,8.9,.176,5.6,0.6,6.3,5.0,MVP-6
50,Lauri Markkanen,2023,25,UTA,NBA,PF,66,66,34.4,8.7,17.3,.499,3.0,7.7,.391,5.6,9.6,.585,.586,5.3,6.0,.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,MIP-1,25,UTA,NBA,PF,66,66,2273,22.1,.640,.446,.348,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,6.3,1.9,8.2,.173,4.9,-1.0,3.8,3.3,MIP-1
51,Ja Morant,2023,23,MEM,NBA,PG,61,59,31.9,9.3,19.9,.466,1.5,4.9,.307,7.8,15.0,.519,.504,6.1,8.1,.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2,MVP-12,23,MEM,NBA,PG,61,59,1948,23.3,.557,.247,.409,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,3.4,2.6,6.0,.148,5.2,0.5,5.7,3.8,MVP-12
52,Giannis Antetokounmpo,2023,28,MIL,NBA,PF,63,63,32.1,11.2,20.3,.553,0.7,2.7,.275,10.5,17.6,.596,.572,7.9,12.3,.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,MVP-3,28,MIL,NBA,PF,63,63,2024,29.0,.605,.134,.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,.204,5.8,2.7,8.5,5.4,MVP-3
53,Bam Adebayo,2023,25,MIA,NBA,C,75,75,34.6,8.0,14.9,.540,0.0,0.2,.083,8.0,14.7,.545,.541,4.3,5.4,.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,DPOY-5,25,MIA,NBA,C,75,75,2598,20.1,.592,.011,.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,.137,0.8,0.8,1.5,2.3,DPOY-5
54,Damian Lillard,2023,32,POR,NBA,PG,58,58,36.3,9.6,20.7,.463,4.2,11.3,.371,5.4,9.4,.574,.564,8.8,9.6,.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,CPOY-10,32,POR,NBA,PG,58,58,2107,26.7,.645,.547,.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,.205,8.3,-1.2,7.1,4.9,CPOY-10
55,DeMar DeRozan,2023,33,CHI,NBA,SF,74,74,36.2,8.9,17.6,.504,0.6,1.9,.324,8.3,15.7,.526,.522,6.2,7.1,.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,CPOY-3,33,CHI,NBA,SF,74,74,2682,20.6,.592,.109,.401,1.5,12.8,7.2,22.3,1.5,1.3,9.1,27.8,5.4,3.2,8.5,.153,1.7,0.3,2.0,2.6,CPOY-3
56,Pascal Siakam,2023,28,TOR,NBA,PF,71,71,37.4,8.9,18.5,.480,1.3,4.0,.324,7.6,14.5,.523,.515,5.2,6.7,.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,24.2,AS,28,TOR,NBA,PF,71,71,2652,20.3,.565,.219,.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,.141,3.3,-0.1,3.1,3.4,AS
57,Domantas Sabonis,2023,26,SAC,NBA,C,79,79,34.6,7.3,11.9,.615,0.4,1.1,.373,6.9,10.8,.639,.632,4.1,5.5,.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,MVP-7,26,SAC,NBA,C,79,79,2736,23.5,.668,.088,.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3.0,12.6,.221,4.1,1.8,5.8,5.4,MVP-7
